abstract,title,year,cleaned
"This paper develops new perspectives of cross-disciplinary methods combining futures studies and urban planning to help imagine healthier futures for compact urban cores. Our empirical basis lies in research-based collaboration between 2016 and 2019 with the City of Turku, the former capital of Finland. The goal was the creation of an ambitious but realistic vision and strategic plan focused on liveability and wellbeing and addressing challenges posed by spatial fragmentation and lack of cohesion. Through the process, it was concluded that to create a positive transition, planning requires the adoption of a ‘greensight’ perspective as a point of departure. The basic argument was that in order to reach a new level of human-centredness and interconnectedness, urban cores need to act as the strong support system for the healthier urban societies of the future. In this paper, we explain the lessons learned and provide an analysis of green areas in the context of Turku. We share wisdom on two key aspects: 1) the growing importance of human health for a more future-oriented approach to the planning of green areas and 2) the rising levels of urban complexity that make adequate distribution of green areas hard to achieve. © 2020 Informa UK Limited, trading as Taylor & Francis Group.",In greensight: healthier futures for urban cores in transition,2020,develops new perspective cross-disciplinary method combining future study help imagine healthier future compact core empirical basis lie research-based collaboration turku former capital finland creation ambitious realistic vision strategic plan focused liveability wellbeing addressing posed spatial fragmentation lack cohesion process concluded create positive transition requires adoption greensight perspective point departure basic argument order reach new human-centredness interconnectedness core need act strong support system healthier society future explain lesson learned analysis green turku share wisdom growing importance human health future-oriented green rising complexity make adequate green hard achieve
"The UN Global Compact–Cities Programme sponsors cross-sectoral partnerships to further the Sustainable Development Goals and the New Urban Agenda at the local level. The paper situates urban liveability and action on it at the local level through the Sustainable Development Goals. It describes a City Partnerships Australia project (Ballarat) and a Bangkok liveability project, and explores findings to date. Here we are concerned with cities that have already committed to work together to co-design, build capacity and deliver city projects to enhance urban liveability, addressing the key city challenges of inequality, accountability and sustainability. This practice paper documents and reflects upon two partnered projects and, in particular, the prospects for their contribution to liveability and related public health outcomes. Across arenas of governance, scale and thematic priorities, cities face common challenges and capability needs. This cross-case assessment provides insights into the efficacy of the Sustainable Development Goals and the New Urban Agenda as common platforms for the necessarily wide range of interest groups required to progress liveability projects in the regional city of Ballarat, Australia, and Bangkok, Thailand. © 2020 Informa UK Limited, trading as Taylor & Francis Group.",From Ballarat to Bangkok: how can cross-sectoral partnerships around the Sustainable Development Goals accelerate urban liveability?,2020,compact programme sponsor cross-sectoral partnership sustainable new agenda local situates liveability action local sustainable describes partnership project ballarat bangkok liveability project explores date concerned already committed work together co-design build capacity deliver project enhance liveability addressing inequality accountability sustainability document reflects upon partnered project prospect contribution liveability public health outcome arena governance scale thematic priority face common capability need cross-case assessment efficacy sustainable new agenda common platform necessarily wide range interest group required progress liveability project regional ballarat bangkok thailand
"While urbanization trends have been characterized for a long time by deconcentration of inner cities with expansion of low-density settlements, economic repolarization leading to re-urbanization and recovery of central districts are now counterbalancing population shrinkage in compact urban areas and slowing down suburban growth. In this context, the recent demographic evolution of a large metropolis such as Athens (Greece)-following expansion, crisis, and a more subtle economic recovery-may reveal original relationships between form and functions at the base of recent urban growth. Based on an exploratory analysis of demographic indicators on a metropolitan and urban scale, the present study provides an updated and integrated knowledge framework that confirms and integrates the most recent urban trends in southern Europe. Documenting the emergence of more individualized paths of urban expansion at the local scale (recovery of the historic center, shrinkage of semicentral neighborhoods, 'reverse gentrification' of disadvantaged peripheral areas, late suburbanization of accessible peripheral areas), results of the present study justify an ad hoc analysis of metropolitan growth based on demographic indicators as a proxy for sustainable land management and local development. © 2020 by the authors.",Uncovering demographic trends and recent urban expansion in metropolitan regions: A paradigmatic case study,2020,urbanization trend characterized long time deconcentration inner expansion low-density settlement economic repolarization leading re-urbanization recovery central district counterbalancing population shrinkage compact slowing suburban recent demographic evolution large metropolis athens greece -following expansion crisis subtle economic recovery-may reveal original relationship form function base recent exploratory analysis demographic indicator metropolitan scale present updated integrated knowledge confirms integrates recent trend southern documenting emergence individualized path expansion local scale recovery historic center shrinkage semicentral neighborhood reverse gentrification disadvantaged peripheral late suburbanization accessible peripheral present justify hoc analysis metropolitan demographic indicator proxy sustainable land management local
"The article is devoted to new approaches to the urban areas design for Russia, focused on achieving modern criteria for the quality of the urban environment. It is highlighted that in spite of the attempts made in recent years in introducing new urban development standards in urban planning legislation aimed at increasing the density of development and multifunctional use of territories, the diversity of living environment types, the actual practice of constructing new areas differs little from what was developed in Russia 30 years ago. Therefore, it is very important to bare an adequate understanding of the processes and methods of forming a full-fledged urban environment in the city in architect students' minds. The article discusses the concept of organizing a multifunctional district of the city of Saratov, developed as part of the graduate design by a group of students. The projected area acts as a self-sufficient urban unit, in the process of modeling of which criteria were developed and methods for creating a multifunctional urban environment meeting modern quality criteria were worked out. © Published under licence by IOP Publishing Ltd.",New types of urban formations modeling in the framework of educational design,2020,devoted new approach design russia focused achieving modern criterion environment highlighted spite attempt made recent year introducing new standard legislation aimed increasing density multifunctional territory diversity living environment type actual constructing new differs little developed russia year ago bare adequate understanding process method forming full-fledged environment architect student mind discusses concept organizing multifunctional district saratov developed part graduate design group student projected act self-sufficient unit process modeling criterion developed method creating multifunctional environment meeting modern criterion worked
"The traditional city suffers from the decline of the urban image due to urban development and homogeneity with the urban context of the city, and because of the lack of determinants governing the urban image, it is that the center of the city of traditional Kadhimiya suffers from a break in the urban image, Therefore, the research included how to build a distinctive urban image of the center of the traditional city of Kadhimiya and achieve the visual pleasure and comfort of the recipient and the urban image here means is an image not picture which are related to several aspects, including physical, social and psychological as well as the collective memory of individuals and their relationship with their environment and a sense of them and thus, interacting with it. The indicators of the research were drawn from the theoretical framework which is measured by the questionnaire to be applied to the study area. The research found that the compact city's characteristics (high density, mixed-use, accessibility, proximity, public transportation directly influence the formation of the urban image through diversity, complexity, variability, and diversity of housing options and urban activities as a result of their impact on (identity, meaning, structure). The most important conclusions and recommendations were that the cognitive process of the urban image is linked to the collective memory, social and cultural values, customs, traditions, attention to the surrounding area of the shrine and its rehabilitation to fit the urban context and achieve visual enrichment and reinforce the sense of belonging to the city by building the urban image. © Published under licence by IOP Publishing Ltd.",The Compact city and urban image of the traditional city center,2020,traditional suffers decline image homogeneity lack determinant governing image center traditional kadhimiya suffers break image included build distinctive image center traditional kadhimiya achieve visual pleasure comfort recipient image mean image picture physical social psychological collective memory individual relationship environment sense interacting indicator drawn theoretical measured questionnaire applied compact high density mixed-use accessibility proximity public transportation directly formation image diversity complexity variability diversity housing option activity impact identity meaning structure conclusion recommendation cognitive process image linked collective memory social cultural value custom tradition attention surrounding shrine rehabilitation fit achieve visual enrichment reinforce sense belonging building image
"Transit Oriented Development (TOD) can eliminate urban sprawl andturnit into a compact city area. The results obtained are generated and traction models obtained are, Oi = -37.126+ 58.723X<inf>3</inf> + 17.968X<inf>6</inf>, where the performance of the road and land use coefficient suggests the number of trip generation increases. The trip figure is obtained by the model Dd = -20.351+ 30.903X<inf>6</inf> where only one significant variable causes the trip generation, which is the dominant land use. With the TOD concept, the model obtained is Oi = 32.180+ 0.002 X<inf>4</inf> - 7.017 X<inf>5</inf> where the cost of travel and the distance of the trip indicate the amount of trip generation incrementally, and trip generation will decrease compared to the base year. The trip is obtained by the model Dd = 48.474-0.671X<inf>1</inf> + 0.003X<inf>4</inf> - 9.299X<inf>5</inf>, meaning thattrip distribution without population density, travel costs and travel distance, the trip pulls occur at 48 trip distribution. If influenced by population density, travel and the distance of the trip, the trip will decrease. It can be interpreted that this independent variable can affect the attraction of the city of Banda Aceh and the TOD concept can be applied there. © Published under licence by IOP Publishing Ltd.",Effect of TOD on traffic in Banda Aceh City,2020,transit oriented tod eliminate sprawl andturnit compact obtained generated traction model obtained performance road land coefficient suggests trip generation increase trip figure obtained model variable cause trip generation dominant land tod concept model obtained cost travel distance trip indicate amount trip generation incrementally trip generation decrease compared base year trip obtained model meaning thattrip without population density travel cost travel distance trip pull occur trip influenced population density travel distance trip trip decrease interpreted independent variable affect attraction banda aceh tod concept applied
"The historically rooted suburbanization of Flanders and the Brussels Capital Region (BCR) in Belgium has resulted in severe urban sprawl, traffic congestion, natural land degradation and many related problems. Recent policy proposals put forward by the two regions aim for more compact urban development in well-serviced areas. Yet, it is unclear how these proposed policies may impact residential dynamics over the coming decades. To address this issue, we developed a Residential Microsimulation (RM) framework that spatially refines coarse-scale demographic projections at the district level to the level of census tracts. The validation of simulated changes from 2001 to 2011 reveals that the proposed framework succeeds in modelling historic trends and clearly outperforms a random model. To support simulation from 2011 to 2040, two alternative urban development scenarios are defined. The Business As Usual (BAU) scenario essentially represents a continuation of urban sprawl development, whereas the Sustainable Development (SUS) scenario strives for higher-density development around strategic well-serviced nodes in line with proposed policies. This study demonstrates how residential microsimulation supported by scenario analysis can play a constructive role in urban policy design and evaluation. © 2020 by the authors.",Microsimulation of residential activity for alternative urban development scenarios: A case study on brussels and flemish brabant,2020,historically rooted suburbanization flanders brussels capital region bcr belgium resulted severe sprawl traffic congestion natural land degradation many problem recent policy proposal put forward region aim compact well-serviced yet unclear proposed policy impact residential dynamic coming decade address developed residential microsimulation spatially refines coarse-scale demographic projection district census tract validation simulated change reveals proposed succeeds modelling historic trend clearly outperforms random model support simulation alternative scenario defined business usual bau scenario essentially represents continuation sprawl whereas sustainable sus scenario strives higher-density around strategic well-serviced node line proposed policy demonstrates residential microsimulation supported scenario analysis play constructive policy design evaluation
"Compact urban form has been widely suggested as a more sustainable development pattern that enhances different aspects of social liveability such as social exchange, collective interaction, and outdoor activity. Empirical research, however, challenges proposing a generic and universal understanding of compactness and its social advantages: compactness is perceived and lived differently in different socio-cultural contexts. This paper contributes to the call for gaining a more place-specific understanding from the compact urban form. To do so, it examines the social life of compact neighbourhoods in two study sites in Berlin. Social life is investigated by measuring the two dimensions of ""neighbouring"" and ""social activities"": while the former explores how residents of the neighbourhood perceive different aspects of social life, the latter maps how urban space accommodates different types of social activity. Questionnaires and advanced mapping techniques are the primary sources of research obtained through intensive fieldwork and on-site observation. The research findings challenge some dominant assumptions attributed to the compact urban form orthodoxy: a compact neighbourhood can be perceived as safe, offer acceptable home and neighbourhood satisfaction, and, at the same time, suffer from low social networking and community engagement. © 2020 by the authors.",Compact urban form: Neighbouring and social activity,2020,compact form widely suggested sustainable pattern enhances social liveability social exchange collective interaction outdoor activity empirical proposing generic universal understanding compactness social advantage compactness perceived lived differently socio-cultural context contributes call gaining place-specific understanding compact form examines social life compact neighbourhood site berlin social life investigated measuring dimension neighbouring social activity former explores resident neighbourhood perceive social life latter map space accommodates type social activity questionnaire advanced mapping technique primary source obtained intensive fieldwork on-site observation dominant assumption attributed compact form orthodoxy compact neighbourhood perceived safe offer acceptable home neighbourhood satisfaction time suffer low social networking community engagement
"Since 1973, the Hong Kong Special Administrative Region (“HKSAR”) government has succeeded in decentralizing its population from the overcrowded urban area to the satellite towns. During this time, many low-income people had also relocated to the new satellite towns for affordable public rental housing (“PRH”) where originally the government expected manufacturing factories in urban areas to relocate there during suburbanisation. However, instead, the factories mostly moved to Mainland China, while service jobs still clustered at the central business districts in Hong Kong, resulting in “Spatial Mismatch” between jobs and residents in the new towns. Poor people living in PRH may suffer from high travel costs for remote job opportunities and are thus more likely to be unemployed than their urban counterparts. To tackle this problem, in 2007, the HKSAR government launched the Transport Support Scheme (“TSS”) that provides transport allowance to job seekers and low-income employees in the four remote districts to encourage cross-district employment. In this study, the effectiveness of this scheme in reducing unemployment and extending the commuting distances for job opportunities for the PRH residents are evaluated. A difference-in-difference model is used to compare the probabilities of being unemployed and the commuting distances between residents in the eligible and the non-eligible areas before and after the launch of the TSS. It is observed that the TSS has significantly decreased the probability of unemployment among the PRH residents living in the four eligible districts, especially among the young and middle-aged male residents. Conditional upon employment, the TSS also increased cross-district employment among the middle-aged female residents. This study provides strong evidence on the effectiveness of the TSS and casts practical implications for transport support policies in compact cities that heavily rely on their public transport system. © 2020 Elsevier Ltd",Effects of the Transport Support Scheme on employment and commuting patterns among public rental housing residents in Hong Kong,2020,since special administrative region hksar government succeeded decentralizing population overcrowded satellite town time many low-income people relocated new satellite town affordable public rental housing prh originally government expected manufacturing factory relocate suburbanisation instead factory mostly moved mainland service job still clustered central business district resulting spatial mismatch job resident new town poor people living prh suffer high travel cost remote job likely unemployed counterpart tackle problem hksar government launched transport support scheme tss transport allowance job seeker low-income employee four remote district encourage cross-district employment effectiveness scheme reducing unemployment extending commuting distance job prh resident evaluated difference-in-difference model compare probability unemployed commuting distance resident eligible non-eligible launch tss observed tss decreased probability unemployment prh resident living four eligible district especially young middle-aged male resident conditional upon employment tss increased cross-district employment middle-aged female resident strong evidence effectiveness tss cast practical implication transport support policy compact heavily rely public transport system
"Since 2014, Japan has implemented a policy for forming a compact urban structure at a national level through an urban planning technique called a location normalization plan. A residence-induced zone included in the location normalization plan is considered as the essence of forming a compact urban structure and can be characterized as a policy that compactifies cities for a long period not only by inducing residence functions into the inside of the zones but also by applying regulations to the outside of the zones. This study examined the status of the dichotomous compact city policy applied in reality by analyzing various cases in Japan that established location normalization plans, and its implications. The conditions commonly observed in the induced zone in model cities indicated that the validity of residence-induced zones-how and where residence-induced zones had to be designated-was prioritized in many cases. Some cities, however, designated independent zones that maintained a certain level of residential functions outside the induced zones. Utilizing independent zones in non-induced zones can be assessed not as an act of simply dividing cities by a dichotomous way but as an attempt to reflect the situations and characteristics of individual cities. © 2020 by the author. Licensee MDPI, Basel, Switzerland.",Between the ideal and reality of city resizing policy: Focused on 25 cases of compact city plans in Japan,2020,since implemented policy forming compact structure national technique called location normalization plan residence-induced zone included location normalization plan considered essence forming compact structure characterized policy compactifies long period inducing residence function inside zone applying regulation outside zone examined status dichotomous compact policy applied reality analyzing case established location normalization plan implication condition commonly observed induced zone model indicated validity residence-induced zones-how residence-induced zone designated-was prioritized many case designated independent zone maintained certain residential function outside induced zone utilizing independent zone non-induced zone assessed act simply dividing dichotomous way attempt reflect situation individual
"Relevance: The coronavirus pandemic has become the most unexpected global phenomenon in 2020, with a number of equally unexpected consequences. The explosive spread of Covid-19 is mostly perceived the negative light, especially in the context of the threat it posed to the health and lives of millions of people. However, it has been noticed that as a result of the pandemic and lockdown, some negative socio-economic processes have been slowed down. Thus, some of the consequences of the pandemic and lockdown can be perceived as new development opportunities. Research objective. This article aims to describe the new phenomena and processes caused by the pandemic in Polish cities which may have a positive impact on urban development. We also intend to indicate potential directions and development opportunities in cities as a result of the pandemic experience. Data and methods. Methodologically, the work combines two main research methods. First, we analysed the research literature and materials of selected Polish and foreign media dealing with the pandemic and its impact on cities, especially in the spatial and social dimensions. Then we considered the available quantitative data describing the current epidemiological situation in Polish regions. Results and conclusions. Research on the development of Covid-19 in Polish cities is difficult because the official data published daily are aggregated only on the regional level. We have found the following consequences of the pandemic that can be considered as positive: relief from overtourism and speculation on the housing rental market, revival of urban nature, revival of the importance of local and regional identity and goods and resurgence of human solidarity and support for entrepreneurs. The development potential of cities in the post-Covid-19 era should be considered in the context of the following dilemmas and concepts: densification vs. disaggregation, concept of a 15-minute city, city as a system and the need for a participatory urban policy. © 2020, Ural Federal University. All rights reserved.",Consequences of the pandemic and new development opportunitiesfor Polish cities in the (post-)COVID-19 era,2020,relevance coronavirus pandemic become unexpected phenomenon equally unexpected consequence explosive spread covid- mostly perceived negative light especially threat posed health life million people noticed pandemic lockdown negative socio-economic process slowed consequence pandemic lockdown perceived new objective aim describe new phenomenon process caused pandemic polish positive impact intend indicate direction pandemic experience data method methodologically work combine method first analysed literature material selected polish foreign medium dealing pandemic impact especially spatial social dimension considered available quantitative data describing epidemiological situation polish region conclusion covid- polish difficult official data published daily aggregated regional following consequence pandemic considered positive relief overtourism speculation housing rental market revival nature revival importance local regional identity good resurgence human solidarity support entrepreneur post-covid- era considered following dilemma concept densification disaggregation concept -minute system need participatory policy
"Compact cities are promoted in policy as a response to current societal challenges, but it is unclear or ambiguous what qualities or benefits a compact city is supposed to deliver. The concept of the compact city is widely debated in the research literature, and there are numerous arguments both for and against compact cities. However, many studies or reviews tend to apply a delimited approach, discussing a confined number of qualities or basing the assessment on fairly narrow empirical material. Research is also carried out from within a number of separate disciplines or “discourses”. This paper aims to provide a clearer and more consolidated understanding of the wide spectrum of qualities that make up the compact city in support of better planning, governance and management of cities in the Global South. The objective is to present a review of current articles discussing the compact city in order to capture similarities and differences in the academic discourse between Global North and Global South contexts, and to outline a comprehensive compact city taxonomy. This is achieved by answering three questions: (1) What types of urban qualities are discussed in scientific articles studying urban compactness? (2) (How) do articles focusing on Global North and Global South contexts differ when it comes to exploring compact city qualities? and (3) Do the findings indicate areas of research withing the broader scope of urban compactness where research should be initiated or strengthened? The analysis is based on literature searches in the Scopus database for 2012-2015 using the search term “compact city”. A quantitative assessment was carried out, sifting out what terms are used to label purported (or debated) qualities of compact cities. Papers are sorted into different categories according to geoeconomic context (i.e. Global North, BRICS, Global South). The outcome is an extended taxonomy of compact city qualities, including twelve categories. Weaknesses in compact city research aimed at cities in the Global South were identified, linked in particular to nature, health, environmental issues, quality of life, sociocultural aspects, justice and economy, as well as a significant lack of compact city research linked to urban adaptability and resilience. © Jaan-Henrik Kain, Jenny Stenberg, Marco Adelfio, Michael Oloko, Liane Thuvander, Patrik Zapata, María José Zapata Campos and School of Public.",What Makes a Compact City? Differences Between Urban Research in the Global North and the Global South,2020,compact promoted policy response societal unclear ambiguous quality benefit compact supposed deliver concept compact widely debated literature numerous argument compact many study review tend apply delimited discussing confined quality basing assessment fairly narrow empirical material carried within separate discipline discourse aim clearer consolidated understanding wide spectrum quality make compact support better governance management south objective present review article discussing compact order capture similarity difference academic discourse north south context outline comprehensive compact taxonomy achieved answering question type quality discussed scientific article studying compactness article focusing north south context differ come exploring compact quality indicate withing broader scope compactness initiated strengthened analysis literature search scopus database search compact quantitative assessment carried sifting label purported debated quality compact paper sorted category according geoeconomic north brics south outcome extended taxonomy compact quality twelve category weakness compact aimed south identified linked nature health environmental life sociocultural justice economy lack compact linked adaptability resilience
"Today, with the rapid increase of urban populations, consequently increasing the urban service units, the efforts to maintain sustainable principles without compromising the quality of urban life has become one of the most important problems in the city. Sustainable cities are places where the environment is least polluted, resources are used effectively and efficiently, buildings are obliged to rise vertically instead of growing horizontally, urban mobility is minimized, but spatial designs are realized where the concept of acquisition is highlighted. In recent years, compact urban theories have been introduced that can be answered. The fact that urban planning has been done does not always mean that there are liveable places. It can be defined as the places that allow limited spaces, high density, mixed use and less energy consumption in compact cities. In this article, the aim is to discuss the definition of compact city, the risks of compact city, the change of urban identity, the loss of sense of belonging, the concepts of “planned” and “unplanned” accompanying urban planning. Within the framework of the importance of compact city, sustainable city, sustainable development quality of life, it was realized by examining an unapplied project proposed for Western Kowloon vertical park and water culture centre. © 2020 WIT Press.",Compact city concept from the viewpoint of place-making,2020,today rapid increase population consequently increasing service unit effort maintain sustainable principle without compromising life become problem sustainable place environment least polluted resource effectively efficiently building obliged rise vertically instead growing horizontally mobility minimized spatial design realized concept acquisition highlighted recent year compact theory introduced answered fact done always mean liveable place defined place allow limited space high density mixed less energy consumption compact aim discus definition compact risk compact change identity loss sense belonging concept planned unplanned accompanying within importance compact sustainable sustainable life realized examining unapplied project proposed western kowloon vertical park water culture centre
"Cities are the engines of economic growth. The concentration of population in urban settlements is a result of the centralization of resources and triggers in-migration. Sprawl, congestion, increasing densities, and social exclusion are the major urban challenges faced by the cities of the developing world. At this juncture, it is important for planners to address these issues to make the cities liveable. The compact city concept is one of the concepts to address similar problems faced by the developing world. Implementation of the compact city concept is limited to an increase in density, redistribution of density, implement transit-oriented development schemes, and mixed uses of the land resource in existing practices. The compact city concept is widely discussed and debated due to its benefits and costs with respect to sustainable urban development. This paper aims to conduct an in-depth study on the sustainable compact city concept by taking into account the literature available from various contexts around the world. The paper investigates the existing methodologies and proposes the optimal methodology for sustainable compact city planning. © 2020 WIT Press.",Planning for a sustainable compact city: A way forward,2020,engine economic concentration population settlement centralization resource trigger in-migration sprawl congestion increasing density social exclusion major faced developing world juncture planner address make liveable compact concept concept address similar problem faced developing world implementation compact concept limited increase density redistribution density implement transit-oriented scheme mixed us land resource existing compact concept widely discussed debated benefit cost respect sustainable aim conduct in-depth sustainable compact concept taking account literature available context around world investigates existing methodology proposes optimal methodology sustainable compact
"The essay critically addresses several solutions and strategies for tackling urban inequalities to uphold the recent “right to the ‘healthy’ city” spatial paradigm based on early social science works by Emily Skinner and Jeffrey R. Masuda (2013) and then developed as a urban planning component by the interdisciplinary research group Barcelona Lab for Urban Environmental Justice and Sustainability (2019). The authors propose a transdisciplinary approach in dealing with city renewal-regeneration and the safer use of its spaces. The interrelation between urbanism and architecture, including environmental design, mobility, and social relations, among others, would merge to imagine a more ecologically and socially balanced urban milieu. The paper analyses four specific case studies assumed as proper approaches in dealing with the pandemic, critically reflecting on the application of “Superblocks,” “Tactical Urbanism,” and “15-minute City” concepts by illustrating and comparing their application in three global cities (respectively Barcelona, Beijing, and Milan). In a nutshell, the authors demonstrate that these policies have their crucial feature in being effective applications formulated for different contexts, proposing successful strategies to overcome health, environment, and mobility issues in all the contemporary global cities. © 2020, Maggioli S.p.a.. All rights reserved.",New healthy settlements responding to pandemic outbreaks: Approaches from (and for) the global city,2020,essay critically address solution strategy tackling inequality uphold recent right healthy spatial paradigm early social science work emily skinner jeffrey masuda developed component interdisciplinary group lab environmental justice sustainability propose transdisciplinary dealing renewal-regeneration safer space interrelation urbanism architecture environmental design mobility social relation others merge imagine ecologically socially balanced milieu analysis four case study assumed proper approach dealing pandemic critically reflecting application superblocks tactical urbanism -minute concept illustrating comparing application respectively milan nutshell demonstrate policy crucial feature effective application formulated context proposing successful strategy overcome health environment mobility contemporary
"Prior research has reported that people living in more walkable places gain significant health, and environmental sustainability benefits. However, the positive impacts of walkable urbanism are not often inclusive and might affect minority groups. On this basis, this paper develops a composite GIS-based walkability measure (0-1) for Berlin metro area and investigates the association of walkable neighborhood design with ethnic diversity (i.e., Entropy Index). We explore this relationship by applying spatial regression models (i.e., OLS, GWR), while we control the effects of traffic-related air pollution (i.e., NO2), building height, and children density. Our findings suggest that for the total of 447 Berlin neighborhoods which were examined only one out of three had walkability scores greater than 0.5 as well as that community ethnic diversity is negatively related to walkability (β=-0.159, <0.01). European Journal of Geography - ISSN 1792-1341 © All rights reserved",Does neighborhood walkability affect ethnic diversity in Berlin? Insights from a spatial modelling approach,2020,prior reported people living walkable place gain health environmental sustainability benefit positive impact walkable urbanism often inclusive might affect minority group basis develops composite gis-based walkability measure berlin metro investigates association walkable neighborhood design ethnic diversity entropy index explore relationship applying spatial regression model ols gwr control effect traffic-related air pollution building height child density suggest total berlin neighborhood examined walkability score greater community ethnic diversity negatively walkability journal geography issn
"Urban consolidation has become an urban planning and development paradox. One of its recurrent criticisms relates to housing affordability and the role of planning interventions such as compact city policies. Indonesia has adopted the compact city concept in recent years, but there is little knowledge of density's effects. This paper examines whether housing and transport affordability is associated with urban compaction in three Indonesian metropolises. Twenty-two municipalities within Jakarta, Bandung, and the Medan metropolitan areas were studied. National socio-economic survey data were used to measure affordability, while census and statistical data are used to describe the current state of urban compactness in each municipality. Data envelopment analysis (DEA) methods were applied to provide an objective calculation and benchmarking process to evaluate and perform the inter-city comparison of the combined housing and transport affordability. To discover the relationship between affordability and urban compaction this study uses Tobit regression analysis. The results support the argument that urban compaction has a potential to improve housing affordability, particularly when transport and housing costs are combined. The research sheds new light on the link between compact urban form and housing affordability in the developing countries context. © 2018 APNHR and AHRC 2018 - Proceedings.All right reserved.",The link between compact urban form and housing affordability in Indonesia: Where is the empirical evidence?,2020,consolidation become paradox recurrent criticism relates housing affordability intervention compact policy indonesia adopted compact concept recent year little knowledge density effect examines whether housing transport affordability associated compaction indonesian metropolis twenty-two municipality within jakarta bandung medan metropolitan studied national socio-economic survey data measure affordability census statistical data describe state compactness municipality data envelopment analysis dea method applied objective calculation benchmarking process evaluate perform inter-city comparison combined housing transport affordability discover relationship affordability compaction us tobit regression analysis support argument compaction improve housing affordability transport housing cost combined shed new light link compact form housing affordability developing country
"This paper provides an analysis of the influence of an urban spatial planning policy on the living standards and the costs of living of the city’s residents and on the costs borne by the municipality. In the analysis, two scenarios for the development of spatial planning of a selected city (of approx. 350,000 residents and 176 km2) were compared: the so-called ‘compact city’ and ‘diffuse city’. A city transport demand model was also used in the analysis. It was developed by the authors for different time horizons of the forecast period. The key objective of the housing policy described in this paper should be to manage the spatial development of the city in the most beneficial way. This requires a thorough multiple-criteria assessment of a number of development scenarios using state-of-the-art IT tools, such as ‘transport demand models’ used by the authors, and the results of market research into the residents’ preferences. © 2020, Springer Nature Switzerland AG.",Planning spatial development of a city from the perspective of its residents’ mobility needs,2020,analysis spatial policy living standard cost living resident cost borne municipality analysis scenario spatial selected approx resident compared so-called compact diffuse transport model analysis developed time horizon forecast period objective housing policy described manage spatial beneficial way requires thorough multiple-criteria assessment scenario state-of-the-art tool transport model market resident preference
"Urban sprawl in urbanizing China has resulted in a series of ecological and environmental problems. Urban planners have been committed to promoting compact development through high-density and mixed land use. However, a problem brought by such compact urban form is the mismatch between physical spaces and socio-economic activities. To date, minimal research has been conducted using spatial statistics to study this issue at the local scales. Moreover, urban night-time vitality has been consistently ignored in existing studies. In the current work, urban land use intensity was analyzed on the basis of street block density and typology, and urban daytime and night-time vitality were measured using small catering business and night-time light data, respectively. The spatial relationships between urban land use intensity and urban vitality were investigated using a local indicator of spatial association (LISA), and five megacities in China were taken as a case study to examine whether variations exist between different cities. Results showed a significant positive spatial autocorrelation between urban land use intensity and urban vitality according to global statistics. Therefore, socio-economic activities are more likely to be abundant in densely developed urban areas. However, local spatial mismatches were found in the five megacities, indicating overcrowded or underutilized urban spaces in all the cities. These relationships were associated with different urban areas (urbanized before 1995 and during 1995–2015), land use conditions (function and mixture) and time periods (day and night). The results of this work will provide a comprehensive understanding of compact city and sustainability. © 2019 Elsevier B.V.",Analyzing spatial relationships between urban land use intensity and urban vitality at street block level: A case study of five Chinese megacities,2020,sprawl urbanizing resulted series ecological environmental problem planner committed promoting compact high-density mixed land problem brought compact form mismatch physical space socio-economic activity date minimal conducted spatial statistic local scale night-time vitality consistently ignored existing study work land intensity analyzed basis street block density typology daytime night-time vitality measured small catering business night-time light data respectively spatial relationship land intensity vitality investigated local indicator spatial association lisa five megacities taken case examine whether variation exist showed positive spatial autocorrelation land intensity vitality according statistic socio-economic activity likely abundant densely developed local spatial mismatch five megacities indicating overcrowded underutilized space relationship associated urbanized land condition function mixture time period day night work comprehensive understanding compact sustainability
